edge_id,source_node_id,target_node_id,asset_id,asset_key,asset_type,subtype,start_date,end_date,is_active_at_end,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
edg_ast_mem_pick_2030_1_swap_rights_phx_815f1e4cb2_e_9eaf5685b3,evt_mem_evt_20230711_trade_swap_phx_2023_07_11_trade_2983cec30d,state_end_mem_20260226,ast_mem_pick_2030_1_swap_rights_phx_815f1e4cb2,pick_2030_1_swap_rights_phx,future_draft_pick,first_round,2023-07-11,,true,,,,trade,MEM/PHX,2030,,,,Right to swap 2030 first-round pick,,"[""2023-07-11|trade|acquire""]"
edg_ast_mem_pick_2030_2_dal_in_e5ead89f5c_evt_mem_ev_50a3fb9e23,evt_mem_evt_20240207_trade_tillman_2024_02_07_trade_939df12fd4,evt_mem_evt_20240719_trade_ziaire_2024_07_19_trade_fa0304be75,ast_mem_pick_2030_2_dal_in_e5ead89f5c,pick_2030_2_dal_in,future_draft_pick,second_round,2024-02-07,2024-07-19,false,,,,trade,DAL,2030,,,,,,"[""2024-02-07|trade|acquire""]"
edg_ast_mem_pick_2030_2_mem_10c1ef9879_state_start_m_42d6becbf4,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2030_2_mem_10c1ef9879,pick_2030_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2030,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2030_2_mem_conditional_d3231eaa45_s_14a1b0a94f,state_start_mem_20220514,evt_mem_evt_20240706_trade_cam_spencer_2024_07_06_tr_bdb3fc634d,ast_mem_pick_2030_2_mem_conditional_d3231eaa45,pick_2030_2_mem_conditional,future_draft_pick,second_round,2022-05-14,2024-07-06,false,,,,,MEM,2030,,Conditional MEM 2030 second-round pick,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2031_1_mem_7939217f2e_state_start_m_a171d513a3,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2031_1_mem_7939217f2e,pick_2031_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2031,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2031_1_phx_in_e8b655bfbe_evt_mem_ev_13804d52fc,evt_mem_evt_20260203_trade_jjj_2026_02_03_trade_db62e31a6e,state_end_mem_20260226,ast_mem_pick_2031_1_phx_in_e8b655bfbe,pick_2031_1_phx_in,future_draft_pick,first_round,2026-02-03,,true,,,,trade,PHX,2031,,,,,,"[""2026-02-03|trade|acquire""]"
edg_ast_mem_pick_2031_2_mem_6b6c3a9372_state_start_m_fedaab2aad,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2031_2_mem_6b6c3a9372,pick_2031_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2031,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2031_2_swap_rights_ind_2cfe6b2480_e_f0efb795cd,evt_mem_evt_20250706_trade_huff_2025_07_06_trade_f28376657d,state_end_mem_20260226,ast_mem_pick_2031_2_swap_rights_ind_2cfe6b2480,pick_2031_2_swap_rights_ind,future_draft_pick,second_round,2025-07-06,,true,,,,trade,IND/MEM,2031,,,,Right to swap 2031 second-round pick,,"[""2025-07-06|trade|acquire""]"
edg_ast_mem_pick_2032_1_mem_f88d6df3a5_state_start_m_b97209f8e7,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2032_1_mem_f88d6df3a5,pick_2032_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2032,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2032_2_gsw_in_782be6ba12_evt_mem_ev_1bcf7dbd28,evt_mem_evt_20250706_trade_will_for_jessup_2025_07_0_4805811c2b,state_end_mem_20260226,ast_mem_pick_2032_2_gsw_in_782be6ba12,pick_2032_2_gsw_in,future_draft_pick,second_round,2025-07-06,,true,,,,trade,GSW,2032,,,,,,"[""2025-07-06|trade|acquire""]"
edg_ast_mem_pick_2032_2_mem_da7efe5310_state_start_m_9b39f78046,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2032_2_mem_da7efe5310,pick_2032_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2032,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2032_2_swap_rights_phi_fb7e699400_e_38cd61ace8,evt_mem_evt_20260205_trade_jessup_2026_02_05_trade_d6d170dd00,state_end_mem_20260226,ast_mem_pick_2032_2_swap_rights_phi_fb7e699400,pick_2032_2_swap_rights_phi,future_draft_pick,second_round,2026-02-05,,true,,,,trade,PHI/MEM,2032,,,,2032 second-round pick swap right,,"[""2026-02-05|trade|acquire""]"
edg_ast_mem_player_bismack_biyombo_6733e0f471_evt_me_7d126a886c,evt_mem_evt_20231101_sign_biyombo_2023_11_01_contrac_ea934e1a06,evt_mem_evt_20240110_waive_biyombo_2024_01_10_waiver_dfb7db7057,ast_mem_player_bismack_biyombo_6733e0f471,player_bismack_biyombo,full_roster,player_contract,2023-11-01,2024-01-10,false,Bismack Biyombo,,,contract_signing,,,,,,,,"[""2023-11-01|contract_signing|acquire""]"
edg_ast_mem_player_brandon_clarke_ba5a95433e_state_s_0b931dc7f5,state_start_mem_20220514,evt_mem_evt_20221016_ext_clarke_2022_10_16_extension_5b69b38405,ast_mem_player_brandon_clarke_ba5a95433e,player_brandon_clarke,full_roster,player_contract,2022-05-14,2022-10-16,false,Brandon Clarke,2024,4.34,carryover_2021_22,,,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_player_brandon_clarke_ba5a95433e_evt_mem_cb4b79a1ae,evt_mem_evt_20221016_ext_clarke_2022_10_16_extension_5b69b38405,state_end_mem_20260226,ast_mem_player_brandon_clarke_ba5a95433e,player_brandon_clarke,full_roster,player_contract,2022-10-16,,true,Brandon Clarke,2027,12.5,extension,,,,,,,,"[""2022-05-14|initial_state|held"", ""2022-10-16|extension|modify""]"
edg_ast_mem_player_braxton_key_64945fb61e_evt_mem_ev_950204f7b7,evt_mem_evt_20250923_sign_braxton_key_2025_09_23_con_4f4944cc65,evt_mem_evt_20251018_waive_braxton_key_2025_10_18_wa_3f443d0bbe,ast_mem_player_braxton_key_64945fb61e,player_braxton_key,full_roster,player_contract,2025-09-23,2025-10-18,false,Braxton Key,,,contract_signing,,,,,,,,"[""2025-09-23|contract_signing|acquire""]"
edg_ast_mem_player_cam_spencer_4fabe1c483_evt_mem_ev_4328f0ed51,evt_mem_evt_20240706_trade_cam_spencer_2024_07_06_tr_bdb3fc634d,evt_mem_evt_20240708_sign_cam_two_way_2024_07_08_con_f778add05a,ast_mem_player_cam_spencer_4fabe1c483,player_cam_spencer,full_roster,draft_rights,2024-07-06,2024-07-08,false,Cam Spencer,,,draft_night_trade,,,,,,,,"[""2024-07-06|trade|acquire""]"
edg_ast_mem_player_cam_spencer_4fabe1c483_evt_mem_ev_6e14457fc1,evt_mem_evt_20240708_sign_cam_two_way_2024_07_08_con_f778add05a,evt_mem_evt_20250714_re_sign_cam_2025_07_14_re_signi_d7e85d402a,ast_mem_player_cam_spencer_4fabe1c483,player_cam_spencer,two_way,two_way_contract,2024-07-08,2025-07-14,false,Cam Spencer,,,two_way_signing,,,,,,,,"[""2024-07-06|trade|acquire"", ""2024-07-08|contract_signing|modify""]"
