event_id,event_key,asset_id,asset_key,action,direction
evt_mem_evt_20250626_draft_javon_small_2025_06_26_dr_4b013e5ff9,evt_20250626_draft_javon_small,ast_mem_pick_2025_2_mem_fbccdef9de,pick_2025_2_mem,relinquish,incoming
evt_mem_evt_20250626_draft_javon_small_2025_06_26_dr_4b013e5ff9,evt_20250626_draft_javon_small,ast_mem_player_javon_small_b9e41a2a17,player_javon_small,acquire,outgoing
evt_mem_evt_20250626_draft_will_richard_2025_06_26_d_a840549dd2,evt_20250626_draft_will_richard,ast_mem_pick_2025_2_mem_rights_56_5de8b783cd,pick_2025_2_mem_rights_56,relinquish,incoming
evt_mem_evt_20250626_draft_will_richard_2025_06_26_d_a840549dd2,evt_20250626_draft_will_richard,ast_mem_player_will_richard_39ba93f6b3,player_will_richard,acquire,outgoing
evt_mem_evt_20250706_trade_huff_2025_07_06_trade_f28376657d,evt_20250706_trade_huff,ast_mem_pick_2029_2_por_in_f2e80a9a21,pick_2029_2_por_in,acquire,outgoing
evt_mem_evt_20250706_trade_huff_2025_07_06_trade_f28376657d,evt_20250706_trade_huff,ast_mem_pick_2031_2_swap_rights_ind_2cfe6b2480,pick_2031_2_swap_rights_ind,acquire,outgoing
evt_mem_evt_20250706_trade_huff_2025_07_06_trade_f28376657d,evt_20250706_trade_huff,ast_mem_player_james_huff_eabb3709ce,player_james_huff,relinquish,incoming
evt_mem_evt_20250706_trade_will_for_jessup_2025_07_0_4805811c2b,evt_20250706_trade_will_for_jessup,ast_mem_pick_2032_2_gsw_in_782be6ba12,pick_2032_2_gsw_in,acquire,outgoing
evt_mem_evt_20250706_trade_will_for_jessup_2025_07_0_4805811c2b,evt_20250706_trade_will_for_jessup,ast_mem_player_jahmai_mashack_5e02abbc05,player_jahmai_mashack,acquire,outgoing
evt_mem_evt_20250706_trade_will_for_jessup_2025_07_0_4805811c2b,evt_20250706_trade_will_for_jessup,ast_mem_player_justinian_jessup_322797a5e5,player_justinian_jessup,acquire,outgoing
evt_mem_evt_20250706_trade_will_for_jessup_2025_07_0_4805811c2b,evt_20250706_trade_will_for_jessup,ast_mem_player_will_richard_39ba93f6b3,player_will_richard,relinquish,incoming
evt_mem_evt_20250707_sign_cedric_2025_07_07_contract_61b8010e40,evt_20250707_sign_cedric,ast_mem_player_cedric_coward_331614329d,player_cedric_coward,modify,outgoing
evt_mem_evt_20250710_sign_javon_two_way_2025_07_10_c_44b27a9bbf,evt_20250710_sign_javon_two_way,ast_mem_player_javon_small_b9e41a2a17,player_javon_small,modify,outgoing
evt_mem_evt_20250712_waive_cole_2025_07_12_waiver_5b14489da7,evt_20250712_waive_cole,ast_mem_player_cole_anthony_20e747f459,player_cole_anthony,terminate,incoming
evt_mem_evt_20250713_ext_jaren_2025_07_13_extension_31d284db85,evt_20250713_ext_jaren,ast_mem_player_jaren_jackson_jr_f365479aec,player_jaren_jackson_jr,modify,outgoing
