event_key,action,asset_key,asset_type,subtype,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
evt_20240719_trade_ziaire,acquire,player_mamadi_diakite,full_roster,player_contract,Mamadi Diakite,,,trade,,,,,,,,
evt_20240719_trade_ziaire,acquire,player_nemanja_dangubic,full_roster,draft_rights,Nemanja Dangubic,,,trade,,,,,,,,
evt_20240719_trade_ziaire,relinquish,pick_2030_2_dal_in,future_draft_pick,second_round,,,,,DAL,2030,,,,,,
evt_20240719_trade_ziaire,relinquish,player_ziaire_williams,full_roster,player_contract,Ziaire Williams,,,,,,,,,,,
evt_20240724_end_trey_jemison_two_way,terminate,player_trey_jemison,two_way,two_way_contract,Trey Jemison,,,end_two_way,,,,,,,,
evt_20240724_sign_huff_two_way,acquire,player_james_huff,two_way,two_way_contract,James Huff,,,two_way_signing,,,,,,,,
evt_20240731_re_sign_kennard,modify,player_luke_kennard,full_roster,player_contract,Luke Kennard,2025,9.25,re_signing,,,,,,,,
evt_20240827_waive_diakite,terminate,player_mamadi_diakite,full_roster,player_contract,Mamadi Diakite,,,waiver,,,,,,,,
evt_20240906_sign_yuki,acquire,player_yuki_kawamura,full_roster,player_contract,Yuki Kawamura,,,contract_signing,,,,,,,,
evt_20240923_waive_rose,terminate,player_derrick_rose,full_roster,player_contract,Derrick Rose,,,waiver,,,,,,,,
evt_20241015_conv_scotty,modify,player_scotty_pippen_jr,full_roster,player_contract,Scotty Pippen Jr.,,,conversion,,,,,,,,
evt_20241019_conv_yuki_two_way,modify,player_yuki_kawamura,two_way,two_way_contract,Yuki Kawamura,,,conversion,,,,,,,,
evt_20241028_conv_huff,modify,player_james_huff,full_roster,player_contract,James Huff,,,conversion,,,,,,,,
evt_20241030_sign_castleton_two_way,acquire,player_colin_castleton,two_way,two_way_contract,Colin Castleton,,,two_way_signing,,,,,,,,
evt_20250110_end_castleton_two_way,terminate,player_colin_castleton,two_way,two_way_contract,Colin Castleton,,,end_two_way,,,,,,,,
evt_20250110_sign_zyon_two_way,acquire,player_zyon_pullin,two_way,two_way_contract,Zyon Pullin,,,two_way_signing,,,,,,,,
evt_20250206_trade_deadline,acquire,pick_2025_2_was_in,future_draft_pick,second_round,,,,trade,WAS,2025,,,,,,
evt_20250206_trade_deadline,acquire,pick_2028_2_sac_in,future_draft_pick,second_round,,,,trade,SAC,2028,,,,,,
evt_20250206_trade_deadline,acquire,player_johnny_davis,full_roster,player_contract,Johnny Davis,,,trade,,,,,,,,
evt_20250206_trade_deadline,acquire,player_marvin_bagley_iii,full_roster,player_contract,Marvin Bagley III,,,trade,,,,,,,,
evt_20250206_trade_deadline,relinquish,pick_2025_1_mem,future_draft_pick,first_round,,,,,MEM,2025,,,,,,
evt_20250206_trade_deadline,relinquish,player_jake_laravia,full_roster,player_contract,Jake LaRavia,,,,,,,,,,,
evt_20250206_trade_deadline,relinquish,player_marcus_smart,full_roster,player_contract,Marcus Smart,,,,,,,,,,,
evt_20250221_sign_lamar,acquire,player_lamar_stevens,full_roster,player_contract,Lamar Stevens,,,10_day_signing,,,,,,,,
evt_20250221_waive_johnny,terminate,player_johnny_davis,full_roster,player_contract,Johnny Davis,,,waiver,,,,,,,,
evt_20250303_sign_lamar_again,modify,player_lamar_stevens,full_roster,player_contract,Lamar Stevens,,,10_day_signing,,,,,,,,
evt_20250313_sign_lamar_rest,modify,player_lamar_stevens,full_roster,player_contract,Lamar Stevens,,,rest_of_season_signing,,,,,,,,
evt_20250615_trade_bane,acquire,pick_2025_1_orl_in,future_draft_pick,first_round,,,,trade,ORL,2025,,,,,,
evt_20250615_trade_bane,acquire,pick_2028_1_orl_in,future_draft_pick,first_round,,,,trade,ORL,2028,,,,,,
evt_20250615_trade_bane,acquire,pick_2029_1_swap_orl_in,future_draft_pick,first_round,,,,trade,ORL/MEM,2029,,,,2029 first-round swap right,,
evt_20250615_trade_bane,acquire,pick_2030_1_orl_in,future_draft_pick,first_round,,,,trade,ORL,2030,,,,,,
evt_20250615_trade_bane,acquire,player_cole_anthony,full_roster,player_contract,Cole Anthony,,,trade,,,,,,,,
evt_20250615_trade_bane,acquire,player_kentavious_caldwell_pope,full_roster,player_contract,Kentavious Caldwell-Pope,,,trade,,,,,,,,
evt_20250615_trade_bane,relinquish,pick_2026_1_swap_rights_mem_orl,future_draft_pick,first_round,,,,,MEM/ORL,2026,,,,2026 first-round swap rights conveyed to ORL,,
evt_20250615_trade_bane,relinquish,player_desmond_bane,full_roster,player_contract,Desmond Bane,,,,,,,,,,,
evt_20250625_trade_up_cedric,acquire,player_cedric_coward,full_roster,draft_rights,Cedric Coward,,,draft_night_trade,,,,,,,,
evt_20250625_trade_up_cedric,relinquish,pick_2027_2_atl_in,future_draft_pick,second_round,,,,,ATL,2027,,,,,,
evt_20250625_trade_up_cedric,relinquish,pick_2028_1_orl_in,future_draft_pick,first_round,,,,,ORL,2028,,,,,,
evt_20250625_trade_up_cedric,relinquish,pick_2028_2_sac_in,future_draft_pick,second_round,,,,,SAC,2028,,,,,,
evt_20250625_trade_up_cedric,relinquish,player_yang_hansen,full_roster,draft_rights,Yang Hansen,,,,,,,,,,,
evt_20250626_draft_javon_small,acquire,player_javon_small,full_roster,draft_pick,Javon Small,,,draft_pick,,,,,,,,
evt_20250626_draft_javon_small,relinquish,pick_2025_2_mem,future_draft_pick,second_round,,,,,MEM,2025,48,,,,,
evt_20250626_draft_will_richard,acquire,player_will_richard,full_roster,draft_rights,Will Richard,,,draft_pick,,,,,,,,
evt_20250626_draft_will_richard,relinquish,pick_2025_2_mem_rights_56,future_draft_pick,second_round,,,,,MEM,2025,56,,,,,
evt_20250706_trade_huff,acquire,pick_2029_2_por_in,future_draft_pick,second_round,,,,trade,POR,2029,,,,,,
evt_20250706_trade_huff,acquire,pick_2031_2_swap_rights_ind,future_draft_pick,second_round,,,,trade,IND/MEM,2031,,,,Right to swap 2031 second-round pick,,
evt_20250706_trade_huff,relinquish,player_james_huff,full_roster,player_contract,James Huff,,,,,,,,,,,
evt_20250706_trade_will_for_jessup,acquire,pick_2032_2_gsw_in,future_draft_pick,second_round,,,,trade,GSW,2032,,,,,,
