edge_id,asset_id,asset_key,asset_type,subtype,source_node_id,target_node_id,start_date,end_date,is_active_at_end,player_name,action_raw,direction_raw
asset_fb42cce0bef6a38128605c40_2,asset_fb42cce0bef6a38128605c40,player:jontay_porter_(pf),player,,evt_367be1667fd80ad7afe787b3,evt_cc094704d7265b4fc90a99fa,2020-11-22,2021-07-30,false,Jontay Porter (PF),relinquish,outgoing
asset_fb42cce0bef6a38128605c40_end,asset_fb42cce0bef6a38128605c40,player:jontay_porter_(pf),player,,evt_cc094704d7265b4fc90a99fa,state_end,2021-07-30,2026-03-08,true,Jontay Porter (PF),relinquish,outgoing
asset_f3a9a375a4b67483e80680eb_0,asset_f3a9a375a4b67483e80680eb,player:robert_woodard_ii,player,,state_start,evt_bf5d545c226f0334a69de4a6,2016-07-01,2020-06-30,false,Robert Woodard II,transform,incoming
asset_f3a9a375a4b67483e80680eb_end,asset_f3a9a375a4b67483e80680eb,player:robert_woodard_ii,player,,evt_bf5d545c226f0334a69de4a6,state_end,2020-06-30,2026-03-08,true,Robert Woodard II,transform,incoming
asset_642150d9b4976f2f022ab15b_0,asset_642150d9b4976f2f022ab15b,player:robert_woodard_ii_(sg),player,,state_start,evt_509caa77a6cc1f96510e6238,2016-07-01,2020-11-18,false,Robert Woodard II (SG),acquire,incoming
asset_642150d9b4976f2f022ab15b_end,asset_642150d9b4976f2f022ab15b,player:robert_woodard_ii_(sg),player,,evt_509caa77a6cc1f96510e6238,state_end,2020-11-18,2026-03-08,true,Robert Woodard II (SG),acquire,incoming
asset_473949325aaaaa568b841df6_0,asset_473949325aaaaa568b841df6,player:xavier_tillman_(c),player,,state_start,evt_518373f809fd0e7db84d2054,2016-07-01,2020-11-18,false,Xavier Tillman (C),transform,outgoing
asset_473949325aaaaa568b841df6_1,asset_473949325aaaaa568b841df6,player:xavier_tillman_(c),player,,evt_518373f809fd0e7db84d2054,evt_d71a265b2ff429df4ffcedd0,2020-11-18,2020-12-01,false,Xavier Tillman (C),acquire,incoming
asset_473949325aaaaa568b841df6_end,asset_473949325aaaaa568b841df6,player:xavier_tillman_(c),player,,evt_d71a265b2ff429df4ffcedd0,state_end,2020-12-01,2026-03-08,true,Xavier Tillman (C),acquire,incoming
asset_4eb1e8a35bd7b3e3835dbacf_0,asset_4eb1e8a35bd7b3e3835dbacf,player:mario_hezonja_(sg),player,,state_start,evt_95ec0c5257b89dfd9996dbe7,2016-07-01,2020-11-20,false,Mario Hezonja (SG),transform,outgoing
asset_4eb1e8a35bd7b3e3835dbacf_1,asset_4eb1e8a35bd7b3e3835dbacf,player:mario_hezonja_(sg),player,,evt_95ec0c5257b89dfd9996dbe7,evt_e6bf20e7cd6eef407eb374cc,2020-11-20,2020-12-11,false,Mario Hezonja (SG),relinquish,outgoing
asset_4eb1e8a35bd7b3e3835dbacf_end,asset_4eb1e8a35bd7b3e3835dbacf,player:mario_hezonja_(sg),player,,evt_e6bf20e7cd6eef407eb374cc,state_end,2020-12-11,2026-03-08,true,Mario Hezonja (SG),relinquish,outgoing
asset_e1de73ce66cb73cebcf23087_0,asset_e1de73ce66cb73cebcf23087,player:desmond_bane_(sg),player,,state_start,evt_6e7f988954ce72494b0cd648,2016-07-01,2020-11-20,false,Desmond Bane (SG),transform,outgoing
asset_e1de73ce66cb73cebcf23087_1,asset_e1de73ce66cb73cebcf23087,player:desmond_bane_(sg),player,,evt_6e7f988954ce72494b0cd648,evt_3d76d75132621f87569e3dad,2020-11-20,2020-11-25,false,Desmond Bane (SG),acquire,incoming
asset_e1de73ce66cb73cebcf23087_2,asset_e1de73ce66cb73cebcf23087,player:desmond_bane_(sg),player,,evt_3d76d75132621f87569e3dad,evt_c8dd09c76697e74da1032c79,2020-11-25,2023-07-08,false,Desmond Bane (SG),modify,incoming
asset_e1de73ce66cb73cebcf23087_end,asset_e1de73ce66cb73cebcf23087,player:desmond_bane_(sg),player,,evt_c8dd09c76697e74da1032c79,state_end,2023-07-08,2026-03-08,true,Desmond Bane (SG),modify,incoming
asset_9185bcad4d4d55d9845fff31_0,asset_9185bcad4d4d55d9845fff31,player:killian_tillie_(pf),two_way,,state_start,evt_8a83c8f5b81fda7c557369a8,2016-07-01,2020-11-24,false,Killian Tillie (PF),modify,incoming
asset_9185bcad4d4d55d9845fff31_1,asset_9185bcad4d4d55d9845fff31,player:killian_tillie_(pf),two_way,,evt_8a83c8f5b81fda7c557369a8,evt_185acb10a7b56e1061022a11,2020-11-24,2021-08-11,false,Killian Tillie (PF),modify,incoming
asset_9185bcad4d4d55d9845fff31_2,asset_9185bcad4d4d55d9845fff31,player:killian_tillie_(pf),two_way,,evt_185acb10a7b56e1061022a11,evt_0f4aec457cb44ae5bfcc4415,2021-08-11,2022-01-01,false,Killian Tillie (PF),acquire,incoming
asset_9185bcad4d4d55d9845fff31_3,asset_9185bcad4d4d55d9845fff31,player:killian_tillie_(pf),two_way,,evt_0f4aec457cb44ae5bfcc4415,evt_7304f459523828bb25c3ef4d,2022-01-01,2022-10-15,false,Killian Tillie (PF),relinquish,outgoing
asset_9185bcad4d4d55d9845fff31_end,asset_9185bcad4d4d55d9845fff31,player:killian_tillie_(pf),two_way,,evt_7304f459523828bb25c3ef4d,state_end,2022-10-15,2026-03-08,true,Killian Tillie (PF),relinquish,outgoing
asset_f5b4e78329dfce9466cb1aea_0,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,state_start,evt_dffd82d14077946475868326,2016-07-01,2020-11-24,false,Sean McDermott (SF),modify,incoming
asset_f5b4e78329dfce9466cb1aea_1,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,evt_dffd82d14077946475868326,evt_214fe8aabf8adfd198a949d4,2020-11-24,2021-08-25,false,Sean McDermott (SF),relinquish,outgoing
asset_f5b4e78329dfce9466cb1aea_2,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,evt_214fe8aabf8adfd198a949d4,evt_9d6d00934ee823259731119d,2021-08-25,2021-09-23,false,Sean McDermott (SF),acquire,incoming
asset_f5b4e78329dfce9466cb1aea_3,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,evt_9d6d00934ee823259731119d,evt_96d610f1c181ade1aa25dfa8,2021-09-23,2021-10-14,false,Sean McDermott (SF),relinquish,outgoing
asset_f5b4e78329dfce9466cb1aea_4,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,evt_96d610f1c181ade1aa25dfa8,evt_3cbd8e5230618b3a84c328b8,2021-10-14,2022-10-10,false,Sean McDermott (SF),acquire,incoming
asset_f5b4e78329dfce9466cb1aea_5,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,evt_3cbd8e5230618b3a84c328b8,evt_e79de9169b3b11f1196b17e6,2022-10-10,2022-10-13,false,Sean McDermott (SF),relinquish,outgoing
asset_f5b4e78329dfce9466cb1aea_end,asset_f5b4e78329dfce9466cb1aea,player:sean_mcdermott_(sf),two_way,,evt_e79de9169b3b11f1196b17e6,state_end,2022-10-13,2026-03-08,true,Sean McDermott (SF),relinquish,outgoing
asset_c044f70b83f9a920924c5d81_0,asset_c044f70b83f9a920924c5d81,player:jahlil_tripp_(sf),player,,state_start,evt_50dfd0c5bd2f8aa49d8da97a,2016-07-01,2020-11-28,false,Jahlil Tripp (SF),acquire,incoming
asset_c044f70b83f9a920924c5d81_1,asset_c044f70b83f9a920924c5d81,player:jahlil_tripp_(sf),player,,evt_50dfd0c5bd2f8aa49d8da97a,evt_8f2ad8b77c5303230f2bba8a,2020-11-28,2020-12-15,false,Jahlil Tripp (SF),relinquish,outgoing
asset_c044f70b83f9a920924c5d81_end,asset_c044f70b83f9a920924c5d81,player:jahlil_tripp_(sf),player,,evt_8f2ad8b77c5303230f2bba8a,state_end,2020-12-15,2026-03-08,true,Jahlil Tripp (SF),relinquish,outgoing
asset_0a31990168a8d04f9b14fa5d_0,asset_0a31990168a8d04f9b14fa5d,player:zhaire_smith_(sg),player,,state_start,evt_691aa943ef204e23ca546a1f,2016-07-01,2020-12-15,false,Zhaire Smith (SG),acquire,incoming
asset_0a31990168a8d04f9b14fa5d_1,asset_0a31990168a8d04f9b14fa5d,player:zhaire_smith_(sg),player,,evt_691aa943ef204e23ca546a1f,evt_1b928863f5f887b10d9dacf7,2020-12-15,2020-12-16,false,Zhaire Smith (SG),relinquish,outgoing
asset_0a31990168a8d04f9b14fa5d_end,asset_0a31990168a8d04f9b14fa5d,player:zhaire_smith_(sg),player,,evt_1b928863f5f887b10d9dacf7,state_end,2020-12-16,2026-03-08,true,Zhaire Smith (SG),relinquish,outgoing
